Symbol,Price,Open,Prev Close,Day's Low & High,P/E,EPS,% Chg,52-Wk Range,Volume,Avg Vol,Bid Size,Ask Size,Mkt Cap,Chart,,
^CNX200,3720.85,3698.60,3693.20,3639.30,3727.70,-,-,+0.75%,3639.30,470630.00,0,-,-,-,-,,,
BSE-100.BO,7184.62,7138.32,7129.62,7030.27,7199.85,-,-,+0.77%,6935.84,9231.26,0,-,-,-,-,,,
^BSESN,23381.87,23237.23,23191.97,22920.84,23434.91,-,-,+0.82%,22600.40,30024.70,0,-,-,-,-,,,
^NSEBANK,14119.85,14165.25,14166.45,13892.10,14186.10,-,-,-0.33%,3364.23,20541.70,0,-,-,-,-,,,
^NSEI,7108.45,7058.85,7048.25,6960.65,7123.70,-,-,+0.85%,6869.00,9119.20,0,-,-,-,-,,,
ZEEL-P1.NS,0.90,0.90,0.90,0.90,0.90,-,-,0.00%,0.9,0.9,553812,0,100000000,-,-,,,
ZANDUREALT.NS *,1291.25,1296.00,1300.35,1265.00,1298.05,-,-,-0.70%,1265,1835,3041,11716,-,-,-,,,
ZEEMEDIA.NS,17.90,18.05,18.10,17.60,18.35,-,-,-1.10%,15.8,26.7,313007,940045,-,-,-,,,
ZYDUSWELL.NS,658.30,666.00,653.55,632.25,666.00,26.78,24.58,+0.73%,632.25,1128.9,6655,7460,-,200,25.74B,,,
ZANDUREALT.NS *,1291.25,1296.00,1300.35,1265.00,1298.05,-,-,-0.70%,1265,1835,3041,11716,-,-,-,,,
ZENSARTEC.NS,1056.55,1075.00,1067.45,1051.35,1080.00,15.23,69.38,-1.02%,606,1121,20483,86770,2500,-,47.01B,,,
ZENSARTEC.NS,1056.55,1075.00,1067.45,1051.35,1080.00,15.23,69.38,-1.02%,606,1121,20483,86770,2500,-,47.01B,,,
ZEELEARN.NS,31.15,31.25,31.85,29.30,31.70,100.48,0.31,-2.20%,29.3,46.8,84336,293754,-,-,9.97B,,,
ZEEL-P1.NS,0.90,0.90,0.90,0.90,0.90,-,-,0.00%,0.9,0.9,553812,0,100000000,-,-,,,
ZEEL.NS,370.55,364.50,362.55,350.10,372.60,41.64,8.90,+2.21%,299.5,440.65,2665334,1948280,53600,-,355.89B,,,
ZEEL.NS,370.55,364.50,362.55,350.10,372.60,41.64,8.90,+2.21%,299.5,440.65,2665334,1948280,53600,-,355.89B,,,
YESBANK.NS,720.35,732.90,733.85,701.20,732.90,15.06,47.82,-1.84%,595,908.95,5279708,3181910,249500,-,300.92B,,,
XCHANGING.NS,36.45,34.80,35.50,34.60,36.80,-,-,+2.68%,22.65,63.5,2709,55632,24700,-,-,,,
